49195.64618,48173.55913,46760.18618,,49048.98791,48285.59127,47542.98565,,49126.99442,48222.22994,47464.18188,,49215.4257,48237.95077,47257.05188,,49146.76355,48229.83278,47256.1014,,,75.3987105
48935.89715,36926.99639,489.9722607,,48776.5425,38664.26257,-7182.121464,,48789.05175,41975.53512,19226.00516,,48954.3991,44619.76169,18182.3888,,48863.97262,40546.63894,7679.06119,,,
48846.40605,36826.3456,15766.98046,,48729.72137,35557.47904,12220.24618,,47787.25512,40941.9307,16036.13429,,48971.14052,41722.63063,15181.00915,,48583.63077,38762.09649,14801.09252,,,
48846.40605,42977.3797,17129.6687,,48929.26765,41707.24498,21758.37556,,47813.45239,41687.08046,24515.85747,,48954.3991,36510.84471,1286.432181,,48635.8813,40720.63746,16172.58348,,,
48846.40605,39918.26062,19758.66987,,48691.58603,38884.81079,19548.30367,,47955.15646,37548.42594,16951.57766,,48954.3991,37814.51338,14619.48971,,48611.88691,38541.50268,17719.51023,,,
48846.40605,41393.34297,25589.58991,,48691.58603,40271.40177,21121.69115,,47955.15646,43364.31142,13572.65951,,48958.74992,43331.54236,26647.38928,,48612.97462,42090.14963,21732.83246,,,
48979.43377,40591.7779,27347.10628,,48701.23302,42652.78486,20220.20458,,47541.21976,37627.34974,8122.82546,,48954.3991,43627.48867,28044.73701,,48544.07141,41124.85029,20933.71833,,,
48790.39682,45219.30085,36622.57915,,48941.46515,29934.4169,-5891.966433,,47492.96941,41012.77607,20328.39533,,48912.49837,41376.71889,16238.25479,,48534.33244,39385.80318,16824.31571,,,
48522.80386,38447.15499,19299.31857,,48941.46515,39075.53734,7280.360266,,47835.08603,42642.82681,21829.6107,,48912.49837,39370.62082,18442.34411,,48552.96335,39884.03499,16712.90841,,,
48258.32817,45116.276,28504.63645,,48939.31025,37448.08436,3326.136223,,47835.08603,44560.00542,27598.36413,,48933.61699,40781.39784,21070.33929,,48491.58536,41976.44091,20124.86902,,,
48291.74298,42925.57388,27416.03901,,48454.74625,40678.55067,22852.52096,,47951.42655,40772.02969,18122.57719,,48912.49837,40643.29305,23366.55901,,48402.60354,41254.86182,22939.42404,,,
